,file,hr_quote,hr_text,en_text,sentiment,verb_cue,speaker,ids
759,hr0.txt,Danas ta poduzeća zapošljavaju [manje od] 1.700 njih -- niti 10 posto radne snage nije zadržano,"Danas ta poduzeća zapošljavaju [manje od] 1.700 njih -- niti 10 posto radne snage nije zadržano"", tvrdi Sejdiu.","Today these enterprises employ [less than] 1,700 of them -- not even 10% of the workforce was maintained,"" Sejdiu argued.",Negative,,,0
760,hr0.txt,Ovdje je glavni problem nepostojanje pravih sindikata.,"""Ovdje je glavni problem nepostojanje pravih sindikata.","""Here the main problem is lack of true unions.",Neutral,,,0
761,hr0.txt,Radnici nisu mogli ispregovarati sporazum koji omogućava lakšu tranziciju.,Radnici nisu mogli ispregovarati sporazum koji omogućava lakšu tranziciju.,Workers were not able to negotiate a deal that provides an easier transition.,Negative,,,0
762,hr0.txt,Toliko je radnika otpušteno.,Toliko je radnika otpušteno.,So many workers are dismissed.,Neutral,,,0
763,hr0.txt,"Kada su u pitanju oni koji i dalje rade, [ne postoji] jamstvo za sigurnost na radu.","Kada su u pitanju oni koji i dalje rade, [ne postoji] jamstvo za sigurnost na radu.","As for those who continue to work, [there is no] guarantee for their safety at work.",Negative,,,0
764,hr0.txt,Ferronikeli je flagrantan slučaj u kojemu nedostatak političke volje da se riješi pitanje sigurnosti na radu ugrožava živote radnika,"Ferronikeli je flagrantan slučaj u kojemu nedostatak političke volje da se riješi pitanje sigurnosti na radu ugrožava živote radnika"", rekao je za SETimes.","Ferronikeli is a flagrant case where a lack of political will to fix the issue of job security threatens workers' lives,"" he told SETimes.",Negative,,,0
757,hr0.txt,bio prenagljen … bez plana za gospodarski razvoj,"Sejdiu kaže kako je, iz ove perspektive, proces ""bio prenagljen … bez plana za gospodarski razvoj"", te da je privatizacija dovela do velikih problema za radnike.","Sejdiu says that, in hindsight, the process ""was hastily done … without a plan for economic development"" and that privatisation has led to major problems for workers.",Negative,,,0
43,hr1.txt,"Dojam je da su koraci poduzeti prema tim medijima, kojima su izrečene presude, selektivni te da institucije ne koriste iste metode u provođenju zakona prema svim medijima","""Dojam je da su koraci poduzeti prema tim medijima, kojima su izrečene presude, selektivni te da institucije ne koriste iste metode u provođenju zakona prema svim medijima"", izjavila je za SETimes ravnateljica Medijskog instituta Makedonije Biljana Petkovska.","""The impression is that the actions undertaken towards these media, for which the verdicts were given, are selective and the institutions do not use the same methods in applying the laws towards all media,"" Macedonia Media Institute director Biljana Petkovska told SETimes.",Negative,,,1
49,hr1.txt,"Sloboda govora u Makedoniji živa je i zdrava, a novinari sa A1 TV koji su ostali bez posla sada ponovno rade u svojoj profesiji.","Sloboda govora u Makedoniji živa je i zdrava, a novinari sa A1 TV koji su ostali bez posla sada ponovno rade u svojoj profesiji.",Freedom of speech in Macedonia is alive and well and the A1 TV journalists who lost their jobs are working again in the profession.,Positive,,,1
51,hr1.txt,Na koji je način ugrožena sloboda medija?,"Na koji je način ugrožena sloboda medija?"", rekla je Velinovska za SETimes.","Where here is freedom of speech challenged?"" Velinovska told SETimes.",Neutral,,,1
44,hr1.txt,Sadašnje političke elite stavit će pod apsolutni nadzor svaku slobodnu misao i svako mišljenje koje je protiv njih,"""Sadašnje političke elite stavit će pod apsolutni nadzor svaku slobodnu misao i svako mišljenje koje je protiv njih.","""The current political establishment is going to put under absolute control every free thought and every opinion that is against it.",Negative,,,1
50,hr1.txt,Neki... su dobili novčanu potporu iz inozemstva i otvorili vlastite medije; ostali su zaposleni u domaćim medijima.,Neki... su dobili novčanu potporu iz inozemstva i otvorili vlastite medije; ostali su zaposleni u domaćim medijima.,Some ... received funds from foreign supporters and opened their own media; others are employed in domestic media.,Positive,,,1
46,hr1.txt,"Ovo je beskompromisna borba protiv kriminala i korupcije koji postoje u svim zemljama, ali čije sankcioniranje ovisi uglavnom o političkoj volji relevantnih čimbenika i sposobnosti institucija da neovisno rade svoj posao","""Ovo je beskompromisna borba protiv kriminala i korupcije koji postoje u svim zemljama, ali čije sankcioniranje ovisi uglavnom o političkoj volji relevantnih čimbenika i sposobnosti institucija da neovisno rade svoj posao"", rekao je zastupnik vladajuće VMRO Antonio Milošoski za SETimes.","""This is an uncompromising fight against crime and corruption that exist in all countries, but whose sanction depends mostly on the political will of relevant factors and the ability and capacity of institutions to independently perform their work,"" ruling VMRO MP Antono Milososki told SETimes.",Neutral,,,1
47,hr1.txt,"Uvjerena sam da će ""Paukova mreža"" imati svoj epilog na međunarodnim sudovima","""Uvjerena sam da će ""Paukova mreža"" imati svoj epilog na međunarodnim sudovima"", rekla je Taseva.","""I am convinced Cobweb will have its epilogue in international courts,"" Taseva said.",Neutral,,,1
48,hr1.txt,Želite li da se zakon poštuje ili ne?,"""Želite li da se zakon poštuje ili ne?","""Do you want the law to be upheld or not?",Neutral,,,1
45,hr1.txt,"Njihov cilj, a danas se to i pokazalo, bilo je ušutkati A1 TV i Veliju Ramkovskog, kao nositelje borbe protiv diktature [premijera] Nikole Gruevskog","Njihov cilj, a danas se to i pokazalo, bilo je ušutkati A1 TV i Veliju Ramkovskog, kao nositelje borbe protiv diktature [premijera] Nikole Gruevskog"", izjavio je bivši urednik A1 TV i zastupnik oporbene Sandžačke lige Safet Biševac.","Its goal, and today that is proven, was to quiet A1 TV and Velija Ramkovski as carriers of the struggle against the dictatorship of [Prime Minister] Nikola Gruevski,"" former A1 TV editor and opposition Sandzak League MP Safet Bishevac said.",Negative,,,1
541,hr2.txt,Mi trebamo... dati potporu Jeremiću.,Mi trebamo... dati potporu Jeremiću.,We need ... give a support to Jeremic.,Neutral,,,2
540,hr2.txt,Bilo bi dobro da dođe do konsenzusa i da imamo jednog kandidata.,"""Bilo bi dobro da dođe do konsenzusa i da imamo jednog kandidata.","""It is good to reach consensus and have the name of one candidate.",Positive,,,2
542,hr2.txt,U suprotnom ćemo biti neozbiljni političari bez zajedničkog stajališta,"U suprotnom ćemo biti neozbiljni političari bez zajedničkog stajališta"", rekao je Lagumdžija novinarima u Beogradu nakon sastanka s Jeremićem 14. ožujka.","Otherwise we would be frivolous politicians with no common position,"" Lagumdzija told reporters in Belgrade after a meeting with Jeremic on March 14th.",Negative,,,2
539,hr2.txt,Ostajem član Predsjedništva [BiH] i nastavljam na tom položaju raditi u punom kapacitetu sa svim obvezama prema državi,"""Ostajem član Predsjedništva [BiH] i nastavljam na tom položaju raditi u punom kapacitetu sa svim obvezama prema državi"", izjavio je Komšić medijima nakon što je priopćio da podnosi ostavku na sve funkcije u stranci.","""I remain a member of the [BiH] presidency and I will continue in this position to work at full capacity with all obligations to the state,"" Komsic told the media after announcing his resignation from the party.",Neutral,,,2
544,hr2.txt,Njihov sukob samo je pokazatelj neodgovornosti države,"Njihov sukob samo je pokazatelj neodgovornosti države"", izjavio je za SETimes profesor na Filozofskom fakultetu u Sarajevu Enver Kazaz.","Their conflict is only an indication of irresponsibility by the state,"" professor at Philosophy Faculty in Sarajevo Enver Kazaz told SETimes.",Negative,,,2
552,hr2.txt,Zbog toga ga još snažnije podupirem,"Zbog toga ga još snažnije podupirem"", rekao je stanovnik Tuzle Ivica Tomić za SETimes.","These moves are reason for more intensely supporting him,"" Tulza resident Ivica Tomic told SETimes.",Positive,,,2
551,hr2.txt,"Ako je stranka iznevjerila njegova stajališta, logično je da je napusti.","Ako je stranka iznevjerila njegova stajališta, logično je da je napusti.",If a party has betrayed his views the logical step is to leave it.,Neutral,,,2
550,hr2.txt,Zemlji su potrebni političari kao što je Komšić.,"""Zemlji su potrebni političari kao što je Komšić.","""This country needs politicians like Komsic.",Positive,,,2
549,hr2.txt,To je bio moj motiv da glasujem za njega,"To je bio moj motiv da glasujem za njega"", izjavila je za SETimes Selma Gunić iz Sarajeva.","Because of that I was motivated to vote for him,"" Selma Gunic of Sarajevo told SETimes.",Positive,,,2
548,hr2.txt,"On nikada nije favorizirao jedan narod, nego se borio za državu, za BiH.","""On nikada nije favorizirao jedan narod, nego se borio za državu, za BiH.","""He never favored one nation. He fought for the country, for BiH.",Positive,,,2
543,hr2.txt,Lagumdžija i Komšić upropastili su SDP pretvorivši ga u taoca osobnih političkih ambicija.,"""Lagumdžija i Komšić upropastili su SDP pretvorivši ga u taoca osobnih političkih ambicija.","""Lagumdzija and Komsic have ruined the SDP by turning it into a hostage of personal political desires.",Negative,,,2
545,hr2.txt,Stranka zaboravlja načela socijaldemokracije.,"""Stranka zaboravlja načela socijaldemokracije.","""The party forgets the principles of social democracy.",Negative,,,2
546,hr2.txt,To je njezino temeljno načelo i ova zbivanja u stranci su cijena toga,"To je njezino temeljno načelo i ova zbivanja u stranci su cijena toga"", izjavio je za SETimes Senad Pećanac, bivši član SDP-a.","This is its fundamental principle, and these events in the party are the price of that act,"" former SDP member Senad Pecanac told SETimes.",Neutral,,,2
547,hr2.txt,"Ovo bi moglo zakomplicirati funkcioniranje Predsjedništva BiH i Ministarstva vanjskih poslova zbog činjenice da je Komšić, zajedno s ostalim članovima predsjedništva, zadužen za vanjsku politiku","""Ovo bi moglo zakomplicirati funkcioniranje Predsjedništva BiH i Ministarstva vanjskih poslova zbog činjenice da je Komšić, zajedno s ostalim članovima predsjedništva, zadužen za vanjsku politiku"", rekao je Tihić za SETimes.","""This can complicate the functioning of the BiH presidency and the ministry of foreign affairs with regard to the fact that Komsic, together with other members of the presidency, are in charge of foreign policy,"" Tihic told SETimes.",Negative,,,2
487,hr10.txt,"Očito je da Srbija odustaje od Kosova, ovo znači odustajanje od Kosova zbog kandidature za članstvo u Europskoj Uniji","""Očito je da Srbija odustaje od Kosova, ovo znači odustajanje od Kosova zbog kandidature za članstvo u Europskoj Uniji"", kazao je Ivanović za beogradske medije.","""It is obvious that Serbia is giving up on Kosovo, this means giving Kosovo up for the sake of European Union candidacy,"" Ivanovic told the Belgrade media.",Neutral,,,10
486,hr10.txt,Ovi su dogovori tako logičan korak u procesu puzajućeg priznanja neovisnosti Prištine,"Ovi su dogovori tako logičan korak u procesu puzajućeg priznanja neovisnosti Prištine"", kazao je Mitić.","The agreements are thus the logical step in the crawling process of Kosovo's recognition,"" Mitic said.",Neutral,,,10
485,hr10.txt,Od uhićenja Ratka Mladića svjedoci smo sve većeg pritiska Washingtona i Bruxellesa da se otvorenije uvjetuje integracija Srbije u EU uspostavom dobrosusjedskih odnosa s Kosovom.,"""Od uhićenja Ratka Mladića svjedoci smo sve većeg pritiska Washingtona i Bruxellesa da se otvorenije uvjetuje integracija Srbije u EU uspostavom dobrosusjedskih odnosa s Kosovom.","""Ever since the arrest of Ratko Mladic, we have witnessed growing pressure by Washington and Brussels to condition more concretely Serbia's EU integration through establishing good neighbourly relations with Kosovo.",Neutral,,,10
484,hr10.txt,"Beograd vrlo dobro zna što su crvene crte u dijalogu s Prištinom, te ih srpska vlada neće prijeći","Na pitanje predstavljaju li sporazumi neizravno priznanje Kosova, Simić je kazao kako ""Beograd vrlo dobro zna što su crvene crte u dijalogu s Prištinom, te ih srpska vlada neće prijeći"".","Asked whether the agreements were an indirect recognition of Kosovo, Simic said that ""Belgrade knows full well what the red lines are in the dialogue with Pristina and that the Serbian government will not cross them.""",Neutral,,,10
480,hr10.txt,prvi korak Srbije prema priznavanju Kosova,"Komentirajući izjavu šefice prištinskog izaslanstva Edite Tahiri kako je rezultat iz Bruxellesa ""prvi korak Srbije prema priznavanju Kosova"", kazao je kako su takve tvrdnja netočne.","Commenting on the statement by Pristina counterpart Edita Tahiri, that the result from Brussels was ""the first step towards Serbia's recognising of Kosovo"", he said such claims were untrue.",Neutral,,,10
479,hr10.txt,niti eksplicitno niti implicitno priznanje neovisnosti Kosova,"Nakon završetka razgovora u Bruxellesu, šef izaslanstva srpske vlade, Borislav Stefanović, ustrajavao je kako rezultati ne znače ""niti eksplicitno niti implicitno priznanje neovisnosti Kosova"".","After the talks in Brussels wrapped up, the head of the Serbian government's delegation, Borislav Stefanovic, insisted that the dialogue meant ""neither an explicit nor an implicit recognition of Kosovo's independence"".",Negative,,,10
483,hr10.txt,sigurno s odobravanjem primiti potez Beograda i Prištine,"Profesor Fakulteta političkih znanosti Sveučilišta u Beogradu, Predrag Simić, izjavio je za SETimes kako je dobro što su dogovori postignuti, te da će EU ""sigurno s odobravanjem primiti potez Beograda i Prištine"".","University of Belgrade Faculty of Political Sciences professor Predrag Simic told SETimes it was good the agreements were made, and that the EU would ""certainly approve of the move by Belgrade and Pristina"".",Positive,,,10
482,hr10.txt,Sporazum s predstavnicima nelegalne države Kosovo kršenje je Ustava Srbije i Rezolucije 1244 Vijeća sigurnosti UN-a i rušenje pravnih dokumenata na kojima počiva suverenitet Srbije,"""Sporazum s predstavnicima nelegalne države Kosovo kršenje je Ustava Srbije i Rezolucije 1244 Vijeća sigurnosti UN-a i rušenje pravnih dokumenata na kojima počiva suverenitet Srbije"", izjavio je za SETimes Slobodan Samardžić, potpredsjednik oporbene Demokratske stranke Srbije.","""Agreement with the representatives of the illegal state of Kosovo is in violation of the Constitution of Serbia and UN Security Council Resolution 1244, and a breach of the legal documents on which the sovereignty of Serbia is founded,"" Slobodan Samardzic, vice president of the opposition Democratic Party of Serbia, told SETimes.",Negative,,,10
481,hr10.txt,Edita Tahiri to je izjavila iz unutarnjopolitičkih razloga i zbog velikog pritiska kosovske oporbe,"""Edita Tahiri to je izjavila iz unutarnjopolitičkih razloga i zbog velikog pritiska kosovske oporbe"", izjavio je Stefanović novinarima, dodajući kako će Srbija nastaviti s izdavanjem identifikacijskih isprava i registarskih oznaka građanima s Kosova.","""Edita Tahiri said that for internal political reasons and due to great pressure from the Kosovo opposition,"" Stefanovic told reporters, adding that Serbia would continue to issue IDs and license plates to citizens of Kosovo.",Neutral,,,10
488,hr10.txt,"Nakon dogovora, Srbija ima veći kredibilitet da se, uz potporu međunarodne zajednice, bavi pitanjem Kosova i unapređenjem uvjeta života lokalnih Srba","""Nakon dogovora, Srbija ima veći kredibilitet da se, uz potporu međunarodne zajednice, bavi pitanjem Kosova i unapređenjem uvjeta života lokalnih Srba"", kazala je.","""After the agreements, Serbia has more credibility to deal with the issue of Kosovo and the enhancement of the local Serbs' living conditions, with support from the international community,"" she said.",Positive,,,10
875,hr11.txt,nehuman i suprotan međunarodnim zakonima i normama,"U priopćenju iz Damaska, pokret je kazao kako je taj čin ""nehuman i suprotan međunarodnim zakonima i normama"".","In a statement from Damascus, the organisation said the act is ""inhuman and contrary to international laws and norms"".",Negative,,,11
876,hr11.txt,"sve koji žele isporučiti pomoć građanima Gaze da to učine preko uspostavljenih kanala, kako bi se njihov teret mogao pregledati i prebaciti već uspostavljenim kopnenim putevima","U međuvremenu, Kvartet bliskoistočnih mirovnih posrednika, koji čine UN, Sjedinjene Američke Države, EU i Rusija, objavio je u subotu priopćenje u kojem pozivaju ""sve koji žele isporučiti pomoć građanima Gaze da to učine preko uspostavljenih kanala, kako bi se njihov teret mogao pregledati i prebaciti već uspostavljenim kopnenim putevima"".","Meanwhile, the Quartet of Middle East peace mediators, which include the UN, the US, the EU and Russia, issued a statement Saturday, urging ""all those wishing to deliver goods to the people of Gaza to do so through established channels, so that their cargo can be inspected and transferred via established land crossings.""",Neutral,,,11
874,hr11.txt,Pozdravljam sve napore uložene za zaustavljanje tog konvoja,"""Pozdravljam sve napore uložene za zaustavljanje tog konvoja"", dodao je.","""I welcome all the efforts that have been made to stop the flotilla,"" he added.",Positive,,,11
872,hr11.txt,Aktivisti pokušavaju okriviti nekoga za svoj neuspjeh,"""Aktivisti pokušavaju okriviti nekoga za svoj neuspjeh -- nesumnjivo su gledali previše filmova s Jamesom Bondom"", izjavio je izraelski ministar vanjskih poslova Avigdor Lieberman u intervjuu Vojnom radiju u nedjelju.","""The activists are trying to blame someone for their failure -- no doubt they have watched too many James Bond films,"" Israeli Foreign Minister Avigdor Lieberman told Army Radio in an interview Sunday.",Negative,,,11
873,hr11.txt,nesumnjivo su gledali previše filmova s Jamesom Bondom,"""Aktivisti pokušavaju okriviti nekoga za svoj neuspjeh -- nesumnjivo su gledali previše filmova s Jamesom Bondom"", izjavio je izraelski ministar vanjskih poslova Avigdor Lieberman u intervjuu Vojnom radiju u nedjelju.","""The activists are trying to blame someone for their failure -- no doubt they have watched too many James Bond films,"" Israeli Foreign Minister Avigdor Lieberman told Army Radio in an interview Sunday.",Neutral,,,11
787,hr12.txt,"Članstvo u EU ne vidi se kao nacionalni, strateški i generacijski cilj, već kao instrument političkih i stranačkih borbi","Članstvo u EU ne vidi se kao nacionalni, strateški i generacijski cilj, već kao instrument političkih i stranačkih borbi "".","EU membership is not perceived as a national, strategic and generational goal, but rather as an instrument of political and party struggles.""",Negative,,,12
780,hr12.txt,povijesni nacionalni projekt zbog kojeg je hrvatski narod duboko ponosan,"U obraćanju povodom Dana državnosti, premijerka Jadranka Kosor opisala je pridruživanje kao ""povijesni nacionalni projekt zbog kojeg je hrvatski narod duboko ponosan"".","In remarks commemorating independence day, Prime Minister Jadranka Kosor described accession as ""an historic national project that makes the people of Croatia deeply proud"".",Positive,,,12
786,hr12.txt,To je problem za sve političke igrače.,"""To je problem za sve političke igrače.","""This is the problem for all political sides involved.",Negative,,,12
785,hr12.txt,Bit ćemo svjedoci pokušaja da se dokaže tko je najbolje obavio posao -- tko je radio 'dan i noć' kako bi ostvario cilj pridruživanja EU i tko bi stoga trebao biti nagrađen na predstojećim parlamentarnim izborima,"""Bit ćemo svjedoci pokušaja da se dokaže tko je najbolje obavio posao -- tko je radio 'dan i noć' kako bi ostvario cilj pridruživanja EU i tko bi stoga trebao biti nagrađen na predstojećim parlamentarnim izborima"", kazao je Grdešić za SETimes.","""We will witness the attempt to prove who did the job best -- who was working 'night and day' to achieve the EU goal, and who should, therefore, be awarded in the upcoming parliamentary elections,"" Grdesic told SETimes.",Neutral,,,12
784,hr12.txt,Nadgledanjem reformskih koraka do pridruživanja pružit će se potrebna uvjeravanja Hrvatskoj i sadašnjim zemljama članicama.,"""Nadgledanjem reformskih koraka do pridruživanja pružit će se potrebna uvjeravanja Hrvatskoj i sadašnjim zemljama članicama.""","""Monitoring reform efforts up to accession will give the necessary assurance to Croatia and current member states.""",Neutral,,,12
783,hr12.txt,"Hrvatska bi trebala nastaviti svoje reformske napore s istom energijom, posebice glede pravosuđa i temeljnih prava, i biti u stanju u cijelosti preuzeti obveze članstva od dana pridruživanja","""Hrvatska bi trebala nastaviti svoje reformske napore s istom energijom, posebice glede pravosuđa i temeljnih prava, i biti u stanju u cijelosti preuzeti obveze članstva od dana pridruživanja"", navodi se u završnom priopćenju sa samita.","""Croatia should continue its reform efforts with the same vigour, especially regarding the judiciary and fundamental rights, and be able fully to assume membership obligations from the date of accession,"" the final statement from the summit read.",Positive,,,12
782,hr12.txt,Hrvatska je sada priznata kao zemlja s jakom demokracijom koja poštuje zakon i zajedničke vrijednosti EU,"""Hrvatska je sada priznata kao zemlja s jakom demokracijom koja poštuje zakon i zajedničke vrijednosti EU"", dodala je.","""Now Croatia is recognised as the country with a strong democracy that respects the law and common EU values,"" she added.",Positive,,,12
781,hr12.txt,Europska i demokratska Hrvatska nacionalni je cilj od naše neovisnosti,"""Europska i demokratska Hrvatska nacionalni je cilj od naše neovisnosti"", kazala je Kosor na domjenku za članove diplomatskog zbora.","""A European and democratic Croatia has been a national goal since our independence,"" Kosor said at a reception for members of the diplomatic corps.",Neutral,,,12
219,hr13.txt,civilizirani suživot koji će biti održiv i pravedan,"Pohvalivši Trajkovskog zbog ""energije i inicijative"" koju je uložio u pripremu sastanka, Matsuura je kazao zemlje SEE nužno trebaju ispuniti preuzete obveze "" glede demokratskih vrijednosti i ciljeva, punog poštivanja ljudskih prava i uzajamnog poštivanja i tolerancije među građanima različitog etničkog podrijetla"" kako bi mogle postići ""civilizirani suživot koji će biti održiv i pravedan"".","Praising Trajkovski for the ""energy and initiative"" put into preparing the meeting, Matsuura said it was indispensable for SEE countries to fulfil the commitments they have made ""to democratic values and objectives, to full respect for human rights, and to mutual respect and tolerance among citizens of different ethnic origins"" so that they can achieve ""a civilised co-existence that is both sustainable and just"".",Positive,,,13
220,hr13.txt,"Razumijem da je dijalog između različitih ljudi, kultura i civilizacija kontinuiran proces koji bi trebao imati globalnu dimenziju, unaprjeđujući jednakost, vladavinu zakona, zaštitu ljudskih prava i poštivanje kulturnih bogatstava i razlika, istodobno doprinoseći izgradnji povjerenja na lokalnoj, regionalnoj i međunarodnoj razini","""Razumijem da je dijalog između različitih ljudi, kultura i civilizacija kontinuiran proces koji bi trebao imati globalnu dimenziju, unaprjeđujući jednakost, vladavinu zakona, zaštitu ljudskih prava i poštivanje kulturnih bogatstava i razlika, istodobno doprinoseći izgradnji povjerenja na lokalnoj, regionalnoj i međunarodnoj razini"", istaknuo je Trajkovski.","""I understand the dialogue among different peoples, cultures and civilisations is a continuing process that should have a global dimension, promoting equality, the rule of law, protection of human rights and respect for cultural treasures and differences, while contributing to building of trust at the local, regional and international levels,"" Trajkovski said.",Positive,,,13
221,hr13.txt,Dijalog i suradnja među civilizacijama ne bi se trebali uvoditi silom i snagom,"""Dijalog i suradnja među civilizacijama ne bi se trebali uvoditi silom i snagom nego nadom za mir i prosperitet"", dodao je Trajkovski izražavajući uvjerenje kako će forum ""ponuditi rješenje za konkretne probleme s kojima se suočava regija i pomoći našim zemljama u nadvladavanju postojećih teškoća"".","""Dialogue and co-operation among civilisations shall not be rooted in force and power, but in hope for peace and prosperity,"" he added, voicing confidence that the forum ""will offer solutions to concrete problems with which the region is faced, and help our countries overcome current difficulties"".",Negative,,,13
222,hr13.txt,nego nadom za mir i prosperitet,"""Dijalog i suradnja među civilizacijama ne bi se trebali uvoditi silom i snagom nego nadom za mir i prosperitet"", dodao je Trajkovski izražavajući uvjerenje kako će forum ""ponuditi rješenje za konkretne probleme s kojima se suočava regija i pomoći našim zemljama u nadvladavanju postojećih teškoća"".","""Dialogue and co-operation among civilisations shall not be rooted in force and power, but in hope for peace and prosperity,"" he added, voicing confidence that the forum ""will offer solutions to concrete problems with which the region is faced, and help our countries overcome current difficulties"".",Negative,,,13
223,hr13.txt,ponuditi rješenje za konkretne probleme s kojima se suočava regija i pomoći našim zemljama u nadvladavanju postojećih teškoća,"""Dijalog i suradnja među civilizacijama ne bi se trebali uvoditi silom i snagom nego nadom za mir i prosperitet"", dodao je Trajkovski izražavajući uvjerenje kako će forum ""ponuditi rješenje za konkretne probleme s kojima se suočava regija i pomoći našim zemljama u nadvladavanju postojećih teškoća"".","""Dialogue and co-operation among civilisations shall not be rooted in force and power, but in hope for peace and prosperity,"" he added, voicing confidence that the forum ""will offer solutions to concrete problems with which the region is faced, and help our countries overcome current difficulties"".",Positive,,,13
218,hr13.txt,"glede demokratskih vrijednosti i ciljeva, punog poštivanja ljudskih prava i uzajamnog poštivanja i tolerancije među građanima različitog etničkog podrijetla","Pohvalivši Trajkovskog zbog ""energije i inicijative"" koju je uložio u pripremu sastanka, Matsuura je kazao zemlje SEE nužno trebaju ispuniti preuzete obveze "" glede demokratskih vrijednosti i ciljeva, punog poštivanja ljudskih prava i uzajamnog poštivanja i tolerancije među građanima različitog etničkog podrijetla"" kako bi mogle postići ""civilizirani suživot koji će biti održiv i pravedan"".","Praising Trajkovski for the ""energy and initiative"" put into preparing the meeting, Matsuura said it was indispensable for SEE countries to fulfil the commitments they have made ""to democratic values and objectives, to full respect for human rights, and to mutual respect and tolerance among citizens of different ethnic origins"" so that they can achieve ""a civilised co-existence that is both sustainable and just"".",Positive,,,13
524,hr14.txt,mi smo jamci legaliteta i ustavnosti,"""Uopće se ne postavlja pitanje provedbe [mjera]; mi smo jamci legaliteta i ustavnosti"", dodao je, ali je ipak spomenuo ""stajalište o ustavnosti"" koje su iznijeli suparnici.","""There is no question whatsoever of the [measures')] implementation; we are guarantors of legality and constitutionality,"" he added, while nevertheless noting the ""constitutionality argument"" that opponents have raised.",Positive,,,14
520,hr14.txt,"ND nikada neće ponuditi konsenzus, ili sudjelovanje u pogrešnoj [politici vlade] ...","""ND nikada neće ponuditi konsenzus, ili sudjelovanje u pogrešnoj [politici vlade] ...","""ND will never offer consensus, or rather, complicity in the mistaken [government policies] ...",Negative,,,14
